time (s),temperature (C)
446.1,12.72
446.4,12.48
446.7,12.72
447.0,12.67
447.3,12.42
447.61,12.64
447.91,12.31
448.21,12.49
448.52,12.3
448.82,12.57
449.12,12.43
449.42,12.62
449.73,12.53
450.03,12.65
450.33,12.7
450.63,12.49
450.94,12.41
451.24,12.56
451.54,12.37
451.84,12.37
452.15,12.36
452.45,12.09
452.75,12.23
453.05,12.25
453.36,12.02
453.66,12.34
453.96,11.99
454.26,12.45
454.57,12.33
454.87,12.17
455.17,12.64
455.48,12.15
455.78,12.27
456.08,12.09
456.38,12.25
456.69,12.08
456.99,12.28
457.29,12.36
457.59,12.31
457.89,12.36
458.2,12.54
458.5,12.48
458.8,12.15
459.11,12.47
459.41,12.33
459.71,12.64
460.01,12.17
460.32,12.71
460.62,12.51
460.92,12.6
461.22,12.39
461.53,12.51
461.83,12.56
462.13,12.36
462.43,12.66
462.74,12.57
463.04,12.72
463.34,12.5
463.64,12.36
463.95,12.83
464.25,12.54
464.55,12.45
464.85,12.29
465.16,12.44
465.46,12.57
465.76,12.33
466.06,12.38
466.37,12.32
466.67,12.16
466.97,12.5
467.27,12.17
467.58,12.29
467.88,12.02
468.18,12.11
468.48,12.19
468.79,11.8
469.09,12.07
469.39,12.32
469.7,12.39
470.0,12.24
470.3,12.15
470.6,12.19
470.91,12.41
471.21,12.17
471.51,12.07
471.81,12.1
472.12,12.09
472.42,12.13
472.72,11.9
473.02,11.75
473.33,11.79
473.63,11.83
473.93,11.94
474.23,12.03
474.54,11.82
474.84,11.74
475.14,11.75
475.44,11.78
475.75,11.73
476.05,12.0
476.35,11.87
476.65,11.84
476.96,11.76
477.26,11.86
477.56,11.62
477.86,11.77
478.17,11.54
478.47,11.92
478.77,11.87
479.07,11.85
479.38,12.08
479.68,11.98
479.98,12.0
480.28,11.79
480.59,11.81
480.89,11.9
481.19,12.12
481.5,11.72
481.8,12.14
482.1,11.95
482.4,12.21
482.7,12.08
483.01,12.19
483.31,12.38
483.61,12.23
483.92,12.16
484.22,12.26
484.52,12.14
484.82,12.16
485.13,12.16
485.43,12.46
